Well,Period,beta_1_slope,beta_1_ci_low,beta_1_ci_high,beta_2_slope,beta_2_ci_low,beta_2_ci_high,beta_3_slope,beta_3_ci_low,beta_3_ci_high,Zone
WMC3,Before,2.399,1.9938832673895592,2.8046699554918333,1.811,1.2772552167518512,2.3456727405235425,0.036,0.01763009678220701,0.0544725831240153,unknown
WMC3,After,2.406,1.943361059403339,2.868622072813564,1.602,1.004613112495686,2.1984629901458095,0.035,0.013759692940178054,0.056897293202837596,unknown
WMC3,After_Scrape2,2.146,1.1926294555847567,3.0997258158328327,1.793,0.5028524651825497,3.083807491541466,0.027,-0.020848315572291047,0.07393703997324719,unknown
CEH31,Before,2.731,2.354323284482973,3.108257439995052,1.445,0.9711054244859467,1.9192955532738634,0.062,0.04254545664216795,0.08066080753414061,unknown
CEH31,After,2.057,1.6035030226370883,2.5106088587516293,1.281,0.7016908472162982,1.8610055752100512,0.039,0.01401177140757465,0.0630964079077186,unknown
CEH31,After_Scrape2,2.106,1.0637788772517303,3.148312864584848,1.479,0.05558531418190338,2.902787415564024,0.039,-0.022320774227609974,0.0997305538093074,unknown
CEH20,Before,2.548,2.1939383692680394,2.90227250139038,2.045,1.5745315202328483,2.516098902267766,0.036,0.020428395644969843,0.05098212126503933,unknown
CEH20,After,2.52,2.1298293837669102,2.91030345475979,2.154,1.6218092060504985,2.6865232039133353,0.026,0.007382177934320212,0.04513882755435043,unknown
CEH20,After_Scrape2,2.853,2.1149236519118717,3.5905294739956086,2.207,1.0821047301317925,3.3316025317307165,0.038,-0.0011487887296219995,0.0761770286409605,unknown
CEH30,Before,2.571,2.150779426413475,2.9915533863438,2.022,1.4699220387243668,2.574574936301564,0.045,0.022155836906421075,0.06872871406979665,unknown
CEH30,After,2.255,1.8768506450742062,2.633349084994076,2.148,1.6325649930891417,2.662843686397925,0.023,0.0010960460092142264,0.04533654174150946,unknown
CEH30,After_Scrape2,2.59,1.9222752702170185,3.2570757412544245,2.409,1.3959965317510197,3.421646938004633,0.033,-0.009445596892059809,0.07500889594171853,unknown
CEH16,Before,2.751,2.43369001820399,3.068448612207205,1.372,0.9684700722711865,1.776371163523429,0.047,0.035701848645899856,0.05905876559701652,unknown
CEH16,After,2.462,2.1174702639462537,2.8057188739356342,1.44,0.9940554344261777,1.8864155521748285,0.037,0.021933394343967086,0.051418079687060206,unknown
CEH16,After_Scrape2,2.39,1.5617209118740014,3.2188857400891466,1.81,0.6535310374326415,2.9668042470098714,0.03,-0.007974477389187232,0.06859050994843381,unknown
CEH32,Before,2.436,2.0321271501368128,2.8394840571057,2.357,1.8060565154067532,2.907710049568099,0.031,0.008008162316933964,0.053290498251560875,unknown
CEH32,After,2.322,1.8969951744376956,2.7470858598461305,2.596,1.9926061525772891,3.1989214794293472,0.012,-0.012548742298619667,0.03728408083888372,unknown
CEH32,After_Scrape2,2.673,1.6528353363036778,3.6936171369483137,2.898,1.250580959143662,4.546042711402171,0.021,-0.04516708588251281,0.08633593158118244,unknown
CEH34,Before,2.566,2.0953174031020145,3.0374623661159115,2.349,1.721915302329655,2.9754261488771387,0.025,0.006529978934517212,0.04425995951032457,unknown
CEH34,After,2.342,1.9770037458458627,2.707579763022205,2.646,2.144486594066595,3.1479605366166044,0.008,-0.007474632877258374,0.023530760462957497,unknown
CEH34,After_Scrape2,2.807,2.0610815317396765,3.552368666694725,2.907,1.766114292682221,4.0471451755464045,0.018,-0.016594109518568222,0.05220506941022174,unknown
CEH33,Before,2.438,2.0299647410358315,2.8462052891688163,2.01,1.4665380804807178,2.552767563571072,0.041,0.01789028192621465,0.06358949547450027,unknown
CEH33,After,2.195,1.8089293262711614,2.5815299347335476,2.201,1.6676530773713485,2.7335519538542274,0.019,-0.0035709448732195274,0.04215172265122437,unknown
CEH33,After_Scrape2,2.466,1.6677929889379177,3.263952883550279,2.256,1.0335196062761165,3.4784909459495514,0.03,-0.020937834208371607,0.0809635449381837,unknown
NW10,Before,3.322,2.9358920429910005,3.7079669500647943,2.568,2.0573969705019453,3.078222288052408,0.044,0.028087066123192315,0.059775456333018145,unknown
NW10,After,3.369,2.9032173632526344,3.8342257725943907,2.39,1.7658208540919649,3.013768561860446,0.043,0.02297042263329446,0.06364514924139526,unknown
NW10,After_Scrape2,3.546,2.771192003220367,4.320590958415302,3.037,1.8972917962907845,4.176467621700376,0.039,0.0029108147409380378,0.07502320796088383,unknown
CEH19,Before,2.442,2.12648719235873,2.757202267426856,0.92,0.5205883917450003,1.3199848951701068,0.049,0.03666609380795637,0.06088702182180785,unknown
CEH19,After,2.185,1.8838605413196685,2.486630657189088,0.84,0.4593961803335809,1.2200786636367509,0.042,0.029352634983346733,0.055597047900033746,unknown
CEH19,After_Scrape2,2.212,1.3992365527456114,3.0244606531412996,1.083,-0.02220752378679358,2.188378797472601,0.041,0.0034907004630455735,0.07933940563068469,unknown
CEH9,Before,2.992,2.6243559985078,3.3593489372483147,2.03,1.5560628267197743,2.5039619090597274,0.04,0.026491331022897736,0.052993633899252754,unknown
CEH9,After,3.028,2.6178333196248875,3.4372606370559255,2.233,1.6966446746384962,2.7696595272214894,0.033,0.016724609158933472,0.0490437868056754,unknown
CEH9,After_Scrape2,3.283,2.400872016048309,4.164992709303033,2.514,1.2634273373980083,3.7652528531107388,0.038,-0.0001121834314395942,0.0756992308636244,unknown
NW7,Before,3.077,2.6947522319408037,3.45841371165605,1.967,1.468760455087177,2.4647124995614864,0.051,0.03470162828823398,0.06725519721992892,unknown
NW7,After,2.759,2.2927641679714506,3.225149554440238,1.721,1.1142976685218902,2.327403133036613,0.045,0.022209614261134894,0.06709355795043871,unknown
NW7,After_Scrape2,2.859,1.8995651403111422,3.8177120376207823,2.276,0.9014787148117152,3.6504225574244598,0.038,-0.012590314197119992,0.08774384275180575,unknown
NW6,Before,3.497,3.0591178960810588,3.935412350015394,1.482,0.9208752184587222,2.042633128267628,0.057,0.042478087469376945,0.0716617262906073,unknown
NW6,After,3.132,2.584365469694581,3.6792052900121597,0.996,0.31424086540520313,1.6787438074821217,0.055,0.03542889739222595,0.0750361608881574,unknown
NW6,After_Scrape2,2.353,1.123870986624435,3.5823816333366763,1.957,0.3293573888318786,3.5836722415099893,0.024,-0.024795737693928004,0.0730314710643922,unknown
